currency,image_url,material,price,product_type,sizes,styles
USD,https://images.saatchiart.com/saatchi/540866/art/4675549/3745385-QRHWBMHI-7.jpg,Glass,2870,product,32.3 W x 44.1 H x 0.2 in,"Abstract,Figurative,Street Art,Expressionism,Conceptual"
USD,https://images.saatchiart.com/saatchi/93960/art/2582460/1652365-VHUDKCOK-7.jpg,Paper,255,product,11.8 W x 9.1 H x 0.1 in,Abstract
USD,https://images.saatchiart.com/saatchi/803412/art/5027501/4097323-ESMSZMWG-7.jpg,Canvas,2540,product,27.2 W x 29.1 H x 1.2 in,"Abstract,Abstract Expressionism,Figurative,Fine Art,Expressionism"
USD,https://images.saatchiart.com/saatchi/655953/art/5184487/4254307-ZBOWLRVZ-7.jpg,Canvas,4650,product,55.1 W x 69.3 H x 1 in,"Expressionism,Surrealism"
USD,https://images.saatchiart.com/saatchi/45266/art/4334263/3404103-TGXNKUHQ-7.jpg,Canvas,3210,product,36 W x 48 H x 1.5 in,"Abstract,Modern,Abstract Expressionism"
USD,https://images.saatchiart.com/saatchi/4532/art/7869555/6937365-RPPAEYXZ-7.jpg,Paper,270,product,7.9 W x 7.9 H x 0 in,"Abstract,Documentary,Expressionism"
USD,https://images.saatchiart.com/saatchi/743140/art/7789989/6857971-ZDYHGHFW-7.jpg,Wood,4350,product,51.2 W x 68.9 H x 2 in,"Abstract,Conceptual,Minimalism,Modern"
USD,https://images.saatchiart.com/saatchi/688433/art/5608193/4678003-VXXQLQSI-7.jpg,Canvas,940,product,19.7 W x 15.7 H x 0.4 in,"Impressionism,Realism,Figurative"
USD,https://images.saatchiart.com/saatchi/673229/art/5154227/4224047-GLDNJPEU-7.jpg,Canvas,1265,product,18 W x 20.8 H x 1 in,"Surrealism,Modern,Fine Art,Figurative"
USD,https://images.saatchiart.com/saatchi/90952/art/1732248/899672-7.jpg,"Paper,Wood",3110,product,48 W x 32 H x 2 in,Abstract
USD,https://images.saatchiart.com/saatchi/673229/art/2702722/1772615-EJYLWDWC-7.jpg,Canvas,545,product,12 W x 12 H x 1.5 in,"Art Deco,Fine Art,Figurative,Modern,Surrealism"
USD,https://images.saatchiart.com/saatchi/4407/art/4125036/3194888-UUKERMGY-7.jpg,Paper,790,product,19.7 W x 19.7 H x 2 in,"Abstract,Minimalism"
USD,https://images.saatchiart.com/saatchi/283853/art/4550679/3620517-CJUQWMNO-7.jpg,Canvas,2700,product,39.4 W x 39.4 H x 0.8 in,Expressionism
USD,https://images.saatchiart.com/saatchi/295765/art/4373729/3443569-FNWFLBGU-7.jpg,Canvas,4020,product,35.4 W x 35.4 H x 2 in,Modern
USD,https://images.saatchiart.com/saatchi/1033819/art/6271105/5340877-WYNLDKAI-7.jpg,Canvas,3210,product,50 W x 32 H x 2 in,"Abstract,Abstract Expressionism,Fine Art,Modern"
USD,https://images.saatchiart.com/saatchi/394796/art/5737431/4807233-FBUGVSXG-7.jpg,Canvas,1710,product,31.5 W x 31.5 H x 0.8 in,"Abstract,Abstract Expressionism,Street Art,Pop Art,Modern"
USD,https://images.saatchiart.com/saatchi/3082/art/2394619/1464714-PJZFLJNM-7.jpg,Canvas,2410,product,43 W x 28 H x 1.8 in,"Abstract,Abstract Expressionism,Expressionism,Fine Art"
USD,https://images.saatchiart.com/saatchi/756195/art/7556227/6624945-OSRRRPTI-7.jpg,Canvas,5450,product,68.9 W x 31.5 H x 0.8 in,"Fine Art,Impressionism,Figurative"
USD,https://images.saatchiart.com/saatchi/976286/art/6254491/5324263-WFEPARCH-7.jpg,Canvas,1080,product,40 W x 30 H x 0.5 in,"Figurative,Portraiture,Realism,Photorealism,Pop Art"
USD,https://images.saatchiart.com/saatchi/486818/art/7864786/6932612-FOUFKARL-7.jpg,Paper,3270,product,118.1 W x 27.6 H x 0 in,"Abstract,Abstract Expressionism,Expressionism,Fine Art"
USD,https://images.saatchiart.com/saatchi/48346/art/3715670/2785554-FKVRJHAV-7.jpg,Canvas,2610,product,19.7 W x 31.5 H x 0.8 in,"Realism,Modern,Figurative"
USD,https://images.saatchiart.com/saatchi/93960/art/2387632/1457742-FMPBYBMY-7.jpg,Canvas,7150,product,59.8 W x 39.8 H x 0.6 in,Abstract
USD,https://images.saatchiart.com/saatchi/636900/art/2119106/1214359-LMDXBSRA-7.jpg,Canvas,2610,product,39.4 W x 39.4 H x 1.6 in,Abstract
USD,https://images.saatchiart.com/saatchi/91068/art/3096887/2166778-UPOLAYUS-7.jpg,Canvas,760,product,19.7 W x 19.7 H x 0.2 in,Abstract
USD,https://images.saatchiart.com/saatchi/394248/art/1991186/1108093-7.jpg,,1060,product,11.8 W x 11.8 H x 0.4 in,Expressionism
USD,https://images.saatchiart.com/saatchi/301635/art/1656293/843821-NBBLPKDA-7.jpg,Canvas,3450,product,43.3 W x 57.1 H x 0.8 in,Expressionism
USD,https://images.saatchiart.com/saatchi/169256/art/7946994/7014541-MAOWNGCY-7.jpg,Canvas,3510,product,39.4 W x 39.4 H x 1.6 in,Figurative
USD,https://images.saatchiart.com/saatchi/79437/art/1972392/1098699-TNAOLLGT-7.jpg,Canvas,6350,product,65 W x 51.2 H x 1.2 in,Pop Art
USD,https://images.saatchiart.com/saatchi/522700/art/1903559/1040806-7.jpg,"Soft (Yarn, Cotton, Fabric)",3770,product,39.4 W x 27.6 H x 0.8 in,Realism
USD,https://images.saatchiart.com/saatchi/64719/art/7168029/6237259-RAMGSSZJ-7.jpg,"Canvas,Soft (Yarn, Cotton, Fabric),Other",2570,product,23 W x 20 H x 1.5 in,"Abstract,Minimalism"
USD,https://images.saatchiart.com/saatchi/423218/art/2115728/1241421-CRRZKRIU-7.jpg,Canvas,500,product,19.7 W x 15.7 H x 1 in,"Impressionism,Realism,Expressionism,Minimalism"
USD,https://images.saatchiart.com/saatchi/736652/art/4205630/3275479-WNKMHCZU-7.jpg,Paper,1140,product,18.1 W x 24 H x 0 in,"Abstract,Abstract Expressionism,Minimalism,Modern"
USD,https://images.saatchiart.com/saatchi/4407/art/2931835/2001728-BYGTECJR-7.jpg,Canvas,7550,product,59.1 W x 47.2 H x 2 in,"Abstract,Conceptual,Figurative,Minimalism"
USD,https://images.saatchiart.com/saatchi/282757/art/2806848/1876741-TMWHFWFJ-7.jpg,Wood,2182,product,24 W x 36 H x 0.3 in,Abstract Expressionism
USD,https://images.saatchiart.com/saatchi/676033/art/7329047/6398253-GEZJIBUB-7.jpg,Canvas,3410,product,30 W x 40 H x 2 in,"Abstract,Abstract Expressionism,Expressionism,Fine Art,Modern"
USD,https://images.saatchiart.com/saatchi/729956/art/2346341/1416808-7.jpg,Wood,2190,product,15.7 W x 19.7 H x 2 in,"Figurative,Fine Art,Realism"
USD,https://images.saatchiart.com/saatchi/1014050/art/5137835/4207655-LBFGMVHR-7.jpg,Wood,2300,product,21 W x 25 H x 1 in,"Conceptual,Figurative,Fine Art,Folk,Surrealism"
USD,https://images.saatchiart.com/saatchi/259297/art/7679273/6747555-PBFRRJZO-7.jpg,Wood,1080,product,23.8 W x 23.8 H x 1.3 in,"Abstract,Fine Art,Modern,Minimalism"
USD,https://images.saatchiart.com/saatchi/417919/art/3132544/2202435-YOTBKFBY-7.jpg,Paper,3270,product,29.5 W x 43.3 H x 0.4 in,Figurative
USD,https://images.saatchiart.com/saatchi/503607/art/4928133/3997957-WVSPUJVS-7.jpg,Canvas,1020,product,37 W x 16.5 H x 0.8 in,"Impressionism,Realism,Fine Art"
USD,https://images.saatchiart.com/saatchi/30531/art/4615047/3684883-YOHQYDVN-7.jpg,Canvas,3350,product,55.9 W x 70.1 H x 1.2 in,"Expressionism,Fine Art,Figurative"
USD,https://images.saatchiart.com/saatchi/91068/art/5388535/4458347-CKOLILEB-7.jpg,Canvas,4800,product,39.4 W x 51.2 H x 1.2 in,"Abstract,Fine Art,Abstract Expressionism"
USD,https://images.saatchiart.com/saatchi/56712/art/577380/315887-YGSXDERN-7.jpg,Canvas,1460,product,39.4 W x 39.4 H x 0.8 in,Modern
USD,https://images.saatchiart.com/saatchi/733666/art/7797816/6865781-EYZNKPCR-7.jpg,Canvas,1910,product,51.2 W x 59.1 H x 0.8 in,Expressionism
USD,https://images.saatchiart.com/saatchi/10125/art/7603553/6672143-HLJRLTGH-7.jpg,Canvas,520,product,12 W x 12 H x 0.8 in,"Abstract,Abstract Expressionism,Conceptual,Impressionism"
USD,https://images.saatchiart.com/saatchi/675209/art/7955167/7022680-CIEZXIKA-7.jpg,Canvas,1810,product,30 W x 30 H x 1.5 in,"Abstract,Conceptual,Minimalism,Street Art"
USD,https://images.saatchiart.com/saatchi/91068/art/6229719/5299495-KODVHCBQ-7.jpg,Canvas,2490,product,31.5 W x 39.4 H x 1.6 in,"Abstract,Fine Art,Abstract Expressionism"
USD,https://images.saatchiart.com/saatchi/5961/art/4100560/3170412-BATIOCLA-7.jpg,Canvas,4950,product,27.6 W x 47.2 H x 1.2 in,"Expressionism,Figurative,Modern"
USD,https://images.saatchiart.com/saatchi/661132/art/6714129/5783793-AXQJDDKN-7.jpg,Canvas,570,product,19.7 W x 19.7 H x 1.2 in,Abstract
USD,https://images.saatchiart.com/saatchi/599547/art/6723453/5793115-FKUFLFEI-7.jpg,Canvas,5350,product,48 W x 72 H x 1.5 in,"Abstract,Conceptual,Minimalism,Modern,Surrealism"
USD,https://images.saatchiart.com/saatchi/889067/art/6777363/5847003-ZAGVLXWQ-7.jpg,Canvas,2470,product,47 W x 43 H x 0.2 in,"Abstract,Abstract Expressionism,Minimalism,Modern,Street Art"
USD,https://images.saatchiart.com/saatchi/21590/art/7748955/6817040-ANCYXETZ-7.jpg,Canvas,700,product,11.8 W x 11.8 H x 0.7 in,"Abstract,Minimalism,Modern"
USD,https://images.saatchiart.com/saatchi/411093/art/7401331/6470535-IHILJJLK-7.jpg,Canvas,680,product,18.1 W x 21.7 H x 0.8 in,"Figurative,Expressionism,Portraiture,Pop Art,Fine Art"
USD,https://images.saatchiart.com/saatchi/574303/art/7784264/6852258-ACAMSJXX-7.jpg,Canvas,880,product,20 W x 24 H x 1.5 in,"Abstract,Expressionism,Fine Art,Modern"
USD,https://images.saatchiart.com/saatchi/1058252/art/7853855/6921711-RPDAVLXE-7.jpg,"Canvas,Paper",960,product,15 W x 18.1 H x 0.8 in,"Art Deco,Conceptual,Fine Art,Figurative"
USD,https://images.saatchiart.com/saatchi/419765/art/1932539/1057012-EHRRSKRJ-7.jpg,Canvas,2710,product,39.4 W x 63 H x 1.2 in,Abstract
USD,https://images.saatchiart.com/saatchi/768105/art/5405353/4475165-KLZVFLKN-7.jpg,Canvas,2670,product,40 W x 30 H x 1.5 in,"Abstract,Conceptual,Expressionism,Figurative"
USD,https://images.saatchiart.com/saatchi/55846/art/1372270/649407-AFPBAYVL-7.jpg,Canvas,760,product,39.4 W x 39.4 H x 1.2 in,Realism
USD,https://images.saatchiart.com/saatchi/656288/art/1955068/1076498-VKMOUNCH-7.jpg,Wood,2010,product,27.6 W x 26 H x 2 in,Figurative
USD,https://images.saatchiart.com/saatchi/63283/art/6491311/5560989-IPQVQIYZ-7.jpg,Cardboard,579,product,13.8 W x 19.7 H x 0.1 in,Modern
USD,https://images.saatchiart.com/saatchi/411093/art/6702403/5772067-TNTZVYEV-7.jpg,Canvas,3210,product,31.9 W x 39.4 H x 1.2 in,"Figurative,portraiture,modern,Pop Art,Realism"
USD,https://images.saatchiart.com/saatchi/651434/art/7099779/6169103-FDFLYBGH-7.jpg,Canvas,1229,product,34.7 W x 58.2 H x 0.1 in,"Abstract Expressionism,Fine Art,Modern,Expressionism"
